종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"012030","DB","KOSPI",,,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"201173933","500","100586966500","원(KRW)","문덕식,강운식 (각자 대표이사)","02-2136-6000","서울특별시 강남구 삼성로96길 23 7층"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"6050000","100","605000000","원(KRW)","홍창배","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"016610","DB금융투자","KOSPI",,,"116601","금융 지원 서비스업","12",,"42446389","5000","212231945000","원(KRW)","고원종","02-369-3000","서울특별시 영등포구 국제금융로8길 32 동부증권빌딩"
"005830","DB손해보험","KOSPI",,,"116501","보험업","12",,"70800000","500","35400000000","원(KRW)","김정남","02-1588-0100","서울특별시 강남구  테헤란로 432 "
"000990","DB하이텍","KOSPI",,,"032601","반도체 제조업","12",,"44398588","5000","222554520000","원(KRW)","최창식","02-3484-2888","경기도 부천시 수도로 90 (주)DB하이텍"
"139130","DGB금융지주","KOSPI",,,"116409","기타 금융업","12",,"169145833","5000","845729165000","원(KRW)","김태오","0537407900","대구광역시 북구 옥산로 111 대구은행 제2본점 9층"
"001530","DI동일","KOSPI",,,"074601","상품 중개업","12",,"2465609","5000","12328045000","원(KRW)","서태원, 손재선","02-2222-3071","서울특별시 강남구  테헤란로 516 정헌빌딩 8층"
"000210","DL","KOSPI",,,"064102","토목 건설업","12",,"15441262","5000","111136885000","원(KRW)","배원복","02-2011-7114","서울특별시 종로구 통일로 134 디타워 돈의문"
"375500","DL이앤씨","KOSPI",,,"064102","토목 건설업","12",,"19358738","5000","107363115000","원(KRW)","마창민","02-2011-7114","서울특별시 종로구 통일로 134 "
"068790","DMS","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"24573061","500","12286530500","원(KRW)","박용석","031-8031-1133","경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)"
"004840","DRB동일","KOSPI",,,"116409","기타 금융업","12",,"19930000","500","9965000000","원(KRW)","류영식","051-520-9000","부산광역시 금정구 공단동로55번길 28 "
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"18538829","500","9269414500","원(KRW)","윤건수","02-3453-3190","서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층"
"155660","DSR","KOSPI",,,"032402","1차 비철금속 제조업","12",,"16000000","500","8000000000","원(KRW)","홍석빈","02-3420-3591","부산광역시 강서구 녹산산업중로192번길 7 "
"069730","DSR제강","KOSPI",,,"032401","1차 철강 제조업","12",,"14400000","500","7200000000","원(KRW)","홍하종","061-752-0121","전라남도 순천시  서면 산단1길 15 "
"017940","E1","KOSPI",,,"074607","기타 전문 도매업","12",,"6860000","5000","34300000000","원(KRW)","구자용 사장","02-3441-4114","서울특별시 용산구 한강대로 92 LS용산타워"
"245620","EDGC","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"42934531","100","4293453100","원(KRW)","이민섭, 신상철","0327132140","인천광역시 연수구 하모니로 291, 4층 &nbsp"
"037370","EG","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"7500000","1000","7500000000","원(KRW)","박지만","041 -750 -7777","충청남도 금산군 추부면 서대산로 459 "
"079190","EMW","KOSDAQ","관리종목(소속부없음)",,"032604","통신 및 방송 장비 제조업","12",,"31784197","500","15892098500","원(KRW)","양일규 (단독대표)","02-2107-5500","인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)"
"365550","ESR켄달스퀘어리츠","KOSPI",,,"126801","부동산 임대 및 공급업","05",,"143259000","1000","143259000000","원(KRW)","박래익","02-6205-0468","서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
"007700","F&F","KOSPI",,,"031401","봉제의복 제조업","12",,"15400000","500","7700000000","원(KRW)","김창수","02-520-0001","서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
"130500","GH신소재","KOSDAQ","중견기업부",,"031309","기타 섬유제품 제조업","12",,"11000000","500","5500000000","원(KRW)","우희구","054-460-8100","경상북도 구미시  1공단로4길 141-54 "
"114090","GKL","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"61855670","500","30927835000","원(KRW)","유태열","02-6421-6000","서울특별시 강남구 삼성로 610 삼성동"
"900290","GRT","KOSDAQ","관리종목(소속부없음)",,"116409","기타 금융업","06",,"67375000","무액면","770089223","중국위안(CNY)","주영남","85236458129","Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
"078930","GS","KOSPI",,,"116409","기타 금융업","12",,"92915378","5000","473501020000","원(KRW)","허태수, 홍순기 (각자 대표이사)","-","서울특별시 강남구 논현로 508 "
"083450","GST","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"9317745","500","4658872500","원(KRW)","김덕준","031-371-2200","경기도 화성시 동탄면 동탄산단6길 15-13 "
"006360","GS건설","KOSPI",,,"064101","건물 건설업","12",,"81420216","5000","407101080000","원(KRW)","허창수, 임병용(각자 대표이사)","02-2154-1112","서울특별시 종로구 종로 33 그랑서울"
"001250","GS글로벌","KOSPI",,,"074608","상품 종합 도매업","12",,"82533764","2500","206334410000","원(KRW)","김태형","02-2005-5300","서울특별시 강남구 논현로 508 GS강남타워 "
"007070","GS리테일","KOSPI",,,"074701","종합 소매업","12",,"77000000","1000","77000000000","원(KRW)","허연수","02-2005-1114","서울특별시 강남구 논현로 508GS타워(역삼동 679) "
"028150","GS홈쇼핑","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"6562500","5000","32812500000","원(KRW)","김호성","02-2007-4153","서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가)"
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)",,"032804","전구 및 조명장치 제조업","12",,"80456569","500","40228284500","원(KRW)","김철현","032-670-3000","경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주)"
"078150","HB테크놀러지","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"78990426","500","39495213000","원(KRW)","문성준","031-332-0060","충청남도 아산시 음봉면 산동로 87 "
"012630","HDC","KOSPI",,,"116409","기타 금융업","12",,"59741721","5000","298708605000","원(KRW)","정몽규, 유병규","02-2008-9114","서울특별시 강남구 영동대로 520 아이파크타워"
"039570","HDC아이콘트롤스","KOSPI",,,"064203","전기 및 통신 공사업","12",,"16460000","500","8230000000","원(KRW)","김성은","031-785-1711","경기도 성남시 분당구 정자일로213번길 5 "
"089470","HDC현대EP","KOSPI",,,"032004","기타 화학제품 제조업","12",,"31900000","500","17200000000","원(KRW)","정 중 규","041-350-0500","충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사"
"294870","HDC현대산업개발","KOSPI",,,"064101","건물 건설업","12",,"65907330","5000","329536650000","원(KRW)","권순호, 정경구","02-2008-9114","서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 "
"011200","HMM","KOSPI",,,"085001","해상 운송업","12",,"328011481","5000","1640057405000","원(KRW)","배재훈","02-3706-5114","서울특별시 종로구  율곡로 194 "
"036640","HRS","KOSDAQ","중견기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"082740","HSD엔진","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"32947142","1000","32947142000","원(KRW)","고영열","055-260-6000","경상남도 창원시 성산구 공단로 67 (신촌동)"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3120000","100","312000000","원(KRW)","이준규","02-6915-5573","서울특별시 영등포구 국제금융로6길 11 &nbsp"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5170000","100","517000000","원(KRW)","고병철","02-6915-5361","서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) "
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"4330000","100","433000000","원(KRW)","이동헌","02-6915-5797","서울특별시 영등포구 국제금융로6길 11 "
"003560","IHQ","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"146235748","500","73117874000","원(KRW)","전용주","02-6005-6000","서울특별시 강남구 선릉로 629 싸이더스HQ타워"
"095340","ISC","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"16007119","500","8003559500","원(KRW)","정영배, 박석순(각자 대표이사)","031-777-7675","경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)"
"099520","ITX-AI","KOSDAQ","벤처기업부",,"032605","영상 및 음향기기 제조업","12",,"29301683","500","14650841500","원(KRW)","박상열, 유건상 (각자 대표이사)","02-2082-8379","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"175330","JB금융지주","KOSPI",,,"116409","기타 금융업","12",,"196982894","5000","984914470000","원(KRW)","김기홍","02-2128-2727","전라북도 전주시 덕진구  백제대로 566 "
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,"074701","종합 소매업","02",,"35005517","무액면","0","일본엔(JPY)","구철모","02-785-9101","6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
"234080","JW생명과학","KOSPI",,,"032102","의약품 제조업","12",,"15834554","2500","39586385000","원(KRW)","차성남","041-351-7600","충청남도 당진시 송악읍 한진1길 28 "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"43936858","500","21968429000","원(KRW)","백승호","02-840-6111","서울특별시 서초구 남부순환로 2477 "
"001060","JW중외제약","KOSPI",,,"032102","의약품 제조업","12",,"21539926","2500","54526100000","원(KRW)","대표이사 신영섭, 이성열(각자 대표이사)","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"096760","JW홀딩스","KOSPI",,,"116409","기타 금융업","12",,"68441182","500","34220591000","원(KRW)","이경하, 한성권","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35497492","500","17943451500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"024840","KBI메탈","KOSDAQ","우량기업부",,"032402","1차 비철금속 제조업","12",,"32950848","500","16475424000","원(KRW)","박한상","053 -615 -1161","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"105560","KB금융","KOSPI",,,"116409","기타 금융업","12",,"415807920","5000","2090557685000","원(KRW)","윤종규","02-2073-7114","서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
"024120","KB오토시스","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"002380","KCC","KOSPI",,,"032004","기타 화학제품 제조업","12",,"8886471","5000","48084660000","원(KRW)","정몽진, 민병삼","02-3480-5000","서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩"
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,윤희영","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
"009070","KCTC","KOSPI",,,"084903","도로 화물 운송업","12",,"30000000","500","15000000000","원(KRW)","이준환","02-310-0700","서울특별시 중구 남대문로 63 한진빌딩 "
"009440","KC그린홀딩스","KOSPI",,,"116409","기타 금융업","12",,"22434980","500","11217490000","원(KRW)","이태영","02-320-6311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"112190","KC산업","KONEX","일반기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12","하이증권","7125253","500","3562626500","원(KRW)","이강주","031-883-8684","경기도 여주시 가남읍 가남로 465 "
"119650","KC코트렐","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"13000000","500","6500000000","원(KRW)","김태우","02-3206-311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)",,"064101","건물 건설업","12",,"16525360","500","8262680000","원(KRW)","안태일","070-5138-4366","경기도 안산시 단원구 광덕서로 102 406-3호"
"092220","KEC","KOSPI",,,"032601","반도체 제조업","12",,"116706940","500","58353470000","원(KRW)","황창섭","02-2025-5000","서울특별시 서초구  마방로10길 5 "
"151860","KG ETS","KOSDAQ","우량기업부",,"053802","폐기물 처리업","12",,"36000000","500","20051860000","원(KRW)","엄기민","031-488-1122","경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)"
"016380","KG동부제철","KOSPI",,,"032401","1차 철강 제조업","12",,"100008897","5000","500311410000","원(KRW)","이세철","02-3450-8027","서울특별시 중구 한강대로 416 서울스퀘어 7층"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"38825568","500","19412784000","원(KRW)","곽재선","(02)2192-2000","서울특별시 중구 통일로 92 케이지타워 16층"
"035600","KG이니시스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904434","500","13952217000","원(KRW)","유승용","(02)3430-5913","서울특별시 중구 통일로 92 케이지타워 14,15층"
"001390","KG케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"13866096","5000","71638725000","원(KRW)","곽정현, 김재익","052-231-1842","울산광역시 울주군 온산읍 당월로 322 "
"060720","KH바텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"23673903","500","11836951500","원(KRW)","남광희","054-465-0630","경상북도 구미시  1공단로10길 53-12 (주)KH바텍 "
"001940","KISCO홀딩스","KOSPI",,,"032401","1차 철강 제조업","12",,"18476380","1000","18476380000","원(KRW)","장세홍, 이병제 (각자대표)","055-260-0500","경상남도 창원시 성산구  공단로103번길 12 한국철강(주) "
"122450","KMH","KOSDAQ","중견기업부",,"106002","텔레비전 방송업","12",,"22667982","500","11434247500","원(KRW)","한찬수, 이강봉(각자 대표이사)","02-2647-1255","서울특별시 양천구  목동서로 201 KT정보전산센터 7층"
"052900","KMH하이텍","KOSDAQ","중견기업부",,"032202","플라스틱제품 제조업","12",,"46885499","500","23442749500","원(KRW)","이상국","(041)539-6114","충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 "
"058400","KNN","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"132429720","500","66214860000","원(KRW)","김병근","051-850-9214","부산광역시 해운대구  센텀서로 30 케이엔엔타워 "
"114450","KPX생명과학","KOSDAQ","중견기업부",,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"15000000","500","7500000000","원(KRW)","양준영, 이기성(각자 대표이사)","061-688-4600","전라남도 여수시 여수산단2로 84 "
"025000","KPX케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4840000","5000","24200000000","원(KRW)","양준영, 김문영, 최재호(각자대표이사)","02-2014-4000","서울특별시 마포구  마포대로 137  KPX빌딩"
"092230","KPX홀딩스","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4224646","5000","21123230000","원(KRW)","양준영","02-2014-4150","서울특별시 마포구  마포대로 137 KPX빌딩 19층"
"000040","KR모터스","KOSPI",,,"033109","그외 기타 운송장비 제조업","12",,"96137368","500","48068684000","원(KRW)","이기복","055-282-7011","경상남도 창원시 성산구 완암로 28 　"
"044450","KSS해운","KOSPI",,,"085001","해상 운송업","12",,"23185880","500","11592940000","원(KRW)","이대성","3702-2700","서울특별시 종로구 인사동길 12 대일빌딩 8층 "
"030200","KT","KOSPI",,,"106102","전기 통신업","12",,"261111808","5000","1564498835000","원(KRW)","구현모","031-727-0114","경기도 성남시 분당구 불정로 90 KT 본사 "
"033780","KT&G","KOSPI",,,"031201","담배 제조업","12",,"137292497","5000","954959485000","원(KRW)","Baek, Bok-In","042-939-5000","대전광역시 대덕구 벚꽃길 71 주식회사 케이티앤지"
"030210","KTB투자증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"60314092","5000","301570460000","원(KRW)","이병철, 최석종","02-2184-2000","서울특별시 영등포구 여의나루로 60 여의도포스트타워"
"036030","KTH","KOSDAQ","중견기업부",,"074601","상품 중개업","12",,"35715022","1000","35715022000","원(KRW)","이필재","02-1588-5668","서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 "
"058850","KTcs","KOSPI",,,"106309","기타 정보 서비스업","12",,"42685000","500","23842500000","원(KRW)","양승규","042-604-5138","대전광역시 서구 갈마로 160 "
"058860","KTis","KOSPI",,,"106309","기타 정보 서비스업","12",,"34802000","500","17401000000","원(KRW)","이응호","02-3215-2054","서울특별시 영등포구 여의대로 14 케이티빌딩 10층"
"060370","KT서브마린","KOSDAQ","중견기업부",,"064203","전기 및 통신 공사업","12",,"21900000","1000","21900000000","원(KRW)","김형준","(051)704-0004","부산광역시 해운대구 송정광어골로 42  "
"093050","LF","KOSPI",,,"031401","봉제의복 제조업","12",,"29240000","5000","146200000000","원(KRW)","구본걸,오규식","02-3441-8114","서울특별시 강남구 언주로 870 (신사동) "
"003550","LG","KOSPI",,,"116409","기타 금융업","12",,"172557131","5000","879359040000","원(KRW)","구광모, 권영수","02-3773-5114","서울특별시 영등포구  여의대로 128 "
"034220","LG디스플레이","KOSPI",,,"032602","전자부품 제조업","12",,"357815700","5000","1789078500000","원(KRW)","정호영","02-3777-1010","서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) "
"001120","LG상사","KOSPI",,,"074601","상품 중개업","12",,"38760000","5000","193800000000","원(KRW)","윤춘성","02-3773-1114","서울특별시 종로구 새문안로 58 LG광화문빌딩 "
"051900","LG생활건강","KOSPI",,,"032004","기타 화학제품 제조업","12",,"15618197","5000","88589470000","원(KRW)","차 석 용","02-3773-5114","서울특별시 종로구  새문안로 58 "
"032640","LG유플러스","KOSPI",,,"106102","전기 통신업","12",,"436611361","5000","2573969175000","원(KRW)","하현회","02-3773-1114","서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥"
"011070","LG이노텍","KOSPI",,,"032602","전자부품 제조업","12",,"23667107","5000","118335535000","원(KRW)","정철동","02-3777-1114","서울특별시 강서구 마곡중앙10로 30 LG사이언스파크 "
"066570","LG전자","KOSPI",,,"032604","통신 및 방송 장비 제조업","12",,"163647814","5000","904169030000","원(KRW)","권봉석, 배두용","02-3777-1114","서울특별시 영등포구  여의대로 128 LG트윈타워"
"108670","LG하우시스","KOSPI",,,"032202","플라스틱제품 제조업","12",,"8967670","5000","50000000000","원(KRW)","강계웅, 강인식","3777-1114","서울특별시 중구 후암로 98 LG서울역빌딩 "
"037560","LG헬로비전","KOSPI",,,"106002","텔레비전 방송업","12",,"77446865","2500","193617162500","원(KRW)","송구영","02-1855-1000","서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) "
"051910","LG화학","KOSPI",,,"032001","기초 화학물질 제조업","12",,"70592343","5000","391405715000","원(KRW)","신학철","02-3777-1114","서울특별시 영등포구  여의대로 128 "
"079550","LIG넥스원","KOSPI",,,"032502","무기 및 총포탄 제조업","12",,"22000000","5000","110000000000","원(KRW)","김지찬","1644 - 2005","경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) "
"006260","LS","KOSPI",,,"116409","기타 금융업","12",,"32200000","5000","161000000000","원(KRW)","이광우","02-2189-9988","서울특별시 용산구 한강대로 92 LS용산타워 - "
"010120","LS ELECTRIC","KOSPI",,,"032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","12",,"30000000","5000","150000000000","원(KRW)","구자균, 박용상, 남기원","02-2034-4224","경기도 안양시 동안구  엘에스로 127 LS타워"
"000680","LS네트웍스","KOSPI",,,"074608","상품 종합 도매업","12",,"78803016","5000","394015080000","원(KRW)","구자용,문성준(각자 대표이사)","02-799-7114","경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)"
"229640","LS전선아시아","KOSPI",,,"116409","기타 금융업","12",,"30624879","500","15312439500","원(KRW)","권영일","031-428-0288","경기도 안양시 동안구 엘에스로 127(호계동, LS타워) 3층 "
"023150","MH에탄올","KOSPI",,,"031101","알코올음료 제조업","12",,"7378526","500","4596763000","원(KRW)","윤현의","055-231-0701","경상남도 창원시 마산회원구 내서읍 광려천남로 25 "
"065150","MP그룹","KOSDAQ","투자주의환기종목(소속부없음)",,"074603","음·식료품 및 담배 도매업","12",,"124435974","100","12443597400","원(KRW)","양희권","02-596-3300","서울특별시 서초구  효령로 132 미피하우스"
"219550","MP한강","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"79827864","100","7982786400","원(KRW)","이진승","02-3773-8373","서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호"
"035420","NAVER","KOSPI",,,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"164263395","100","16481339500","원(KRW)","한성숙","1588-3830","경기도 성남시 분당구  불정로 6 "
"160550","NEW","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"27906106","500","13953053000","원(KRW)","김우택","02-3490-9300","서울특별시 강남구 학동로9길 5 - "
"053290","NE능률","KOSDAQ","벤처기업부",,"105801","서적, 잡지 및 기타 인쇄물 출판업","12",,"16526307","500","8263153500","원(KRW)","주민홍","02-2014-7114","서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 "
"181710","NHN","KOSPI",,,"105802","소프트웨어 개발 및 공급업","12",,"19565025","500","9782512500","원(KRW)","정우진","1544-6859","경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄"
"104200","NHN벅스","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"14827550","500","7413775000","원(KRW)","양주일","031-8038-4186","경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"22971393","500","11485696500","원(KRW)","박준석","(02)2108-1000","서울특별시 구로구 디지털로26길 72 - "
"005940","NH투자증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"281408887","5000","1531275030000","원(KRW)","정영채","02-768-7000","서울특별시 영등포구 여의대로 60 우리투자증권빌딩"
